2022-07-20 09:24:30.585806	 Application shutdown 
2022-07-21 23:04:06.154564	 Application startup 
2022-07-21 23:04:06.154564	 Application shutdown 
2022-07-21 23:05:05.335675	 Application startup 
2022-07-21 23:05:05.335675	 Application shutdown 
2022-07-21 23:05:53.703388	 Application startup 
2022-07-21 23:05:53.703388	 Application shutdown 
2022-07-21 23:06:52.268126	 Application startup 
2022-07-21 23:06:52.268126	 Application shutdown 
2022-07-21 23:07:18.339761	 Application startup 
2022-07-21 23:07:18.339761	 Application shutdown 
2022-07-21 23:07:35.262258	 Application startup 
2022-07-21 23:07:35.262258	 Application shutdown 
2022-07-21 23:07:51.693815	 Application startup 
2022-07-21 23:07:51.693815	 Application shutdown 
2022-07-21 23:09:59.026943	 Application startup 
2022-07-21 23:09:59.026943	 Application shutdown 
2022-07-21 23:10:17.110067	 Application startup 
2022-07-21 23:10:17.110067	 Application shutdown 
2022-07-21 23:11:24.960899	 Application startup 
2022-07-21 23:11:24.960899	 Application shutdown 
2022-07-21 23:12:07.789645	 Application startup 
2022-07-21 23:12:07.789645	 Application shutdown 
2022-07-21 23:12:09.220843	 Application startup 
2022-07-21 23:12:09.220843	 Application shutdown 
2022-07-21 23:13:55.735523	 Application startup 
2022-07-21 23:13:55.735523	 Application shutdown 
2022-07-22 15:45:23.873964	 Application startup 
2022-07-22 15:45:23.873964	 Application shutdown 
2022-07-22 15:46:23.453189	 Application startup 
2022-07-22 15:46:23.453189	 Application shutdown 
2022-07-22 15:46:37.590818	 Application startup 
2022-07-22 15:46:37.590818	 Application shutdown 
2022-07-22 15:46:57.716843	 Application startup 
2022-07-22 15:46:57.716843	 Application shutdown 
2022-07-22 15:53:06.591296	 Application startup 
2022-07-22 15:53:06.591296	 Application shutdown 
2022-07-22 15:55:22.147496	 Application startup 
2022-07-22 15:55:22.147496	 Application shutdown 
2022-07-22 15:55:48.017106	 Application startup 
2022-07-22 15:55:48.017106	 Application shutdown 
2022-07-22 15:57:07.619062	 Application startup 
2022-07-22 15:57:07.619062	 Application shutdown 
2022-07-22 15:59:38.541321	 Application startup 
2022-07-22 15:59:38.541321	 Application shutdown 
2022-07-22 16:01:25.825988	 Application startup 
2022-07-22 16:01:25.825988	 Application shutdown 
2022-07-22 19:06:05.078176	 Application startup 
2022-07-22 19:06:05.078176	 Application shutdown 
2022-07-22 21:12:50.686498	 Application startup 
